time,cpm,lat,lon
2017-03-11T21:24:16Z,21,45.6557516667,13.7736916667
2017-03-11T21:24:21Z,23,45.6557566667,13.773695
2017-03-11T21:24:26Z,23,45.6557466667,13.7736916667
2017-03-11T21:24:31Z,26,45.6556916667,13.7736366667
2017-03-11T21:24:36Z,25,45.65569,13.7736333333
2017-03-11T21:24:41Z,28,45.6556666667,13.7736066667
2017-03-11T21:24:46Z,28,45.6556616667,13.7736083333
2017-03-11T21:24:51Z,29,45.65566,13.77361
2017-03-11T21:24:56Z,29,45.6556616667,13.7736116667
2017-03-11T21:25:01Z,33,45.6556916667,13.77363
2017-03-11T21:25:06Z,33,45.6556766667,13.7736166667
2017-03-11T21:25:11Z,33,45.65562,13.77356
2017-03-11T21:25:16Z,28,45.6556033333,13.77354
2017-03-11T21:25:21Z,28,45.655595,13.7735383333
2017-03-11T21:25:26Z,26,45.65554,13.7734433333
2017-03-11T21:25:31Z,24,45.6555183333,13.7734166667
2017-03-11T21:25:36Z,24,45.655515,13.7734166667
2017-03-11T21:25:41Z,22,45.655535,13.7734316667
2017-03-11T21:25:46Z,21,45.6554916667,13.7733866667
2017-03-11T21:25:51Z,21,45.655595,13.7734833333
2017-03-11T21:25:56Z,19,45.6556916667,13.7735833333
2017-03-11T21:26:01Z,17,45.6557116667,13.7735866667
2017-03-11T21:26:06Z,15,45.6557066667,13.7735983333
2017-03-11T21:26:11Z,16,45.6556766667,13.7735783333
2017-03-11T21:26:16Z,15,45.65565,13.7735516667
2017-03-11T21:26:21Z,14,45.6556183333,13.7735133333
2017-03-11T21:26:26Z,13,45.6556316667,13.7735616667
2017-03-11T21:26:31Z,15,45.6556416667,13.773595
2017-03-11T21:26:36Z,15,45.6556633333,13.7735933333
2017-03-11T21:26:41Z,14,45.6557016667,13.7736016667
2017-03-11T21:26:46Z,19,45.655755,13.7736516667
2017-03-11T21:26:51Z,22,45.6557483333,13.7736566667
2017-03-11T21:26:56Z,23,45.6557666667,13.773685
2017-03-11T21:27:01Z,23,45.65584,13.7737616667
2017-03-11T21:27:06Z,24,45.65583,13.77374
2017-03-11T21:27:11Z,25,45.6558333333,13.773735
2017-03-11T21:27:16Z,25,45.6558183333,13.77372
2017-03-11T21:27:21Z,26,45.655795,13.7736816667
2017-03-11T21:27:26Z,25,45.65576,13.7736383333
2017-03-11T21:27:31Z,22,45.6557616667,13.7736333333
2017-03-11T21:27:36Z,24,45.655745,13.7736216667
2017-03-11T21:27:41Z,26,45.6557283333,13.7735983333
2017-03-11T21:27:47Z,25,45.6557516667,13.7736233333
2017-03-11T21:27:52Z,22,45.6557033333,13.7735666667
2017-03-11T21:27:57Z,21,45.6556683333,13.7735366667
2017-03-11T21:28:02Z,20,45.6555916667,13.7734716667
2017-03-11T21:28:07Z,20,45.6555333333,13.7734266667
2017-03-11T21:28:12Z,18,45.6555366667,13.773435
2017-03-11T21:28:17Z,19,45.6555483333,13.7734433333
2017-03-11T21:28:22Z,19,45.6555433333,13.7734333333
2017-03-11T21:28:27Z,20,45.6555483333,13.7734433333
2017-03-11T21:28:32Z,22,45.6555516667,13.773445
2017-03-11T21:28:37Z,21,45.6555466667,13.7734383333
2017-03-11T21:28:42Z,20,45.6555433333,13.773435
2017-03-11T21:28:47Z,16,45.65554,13.773435
2017-03-11T21:28:52Z,17,45.6555383333,13.7734333333
2017-03-11T21:28:57Z,18,45.655545,13.7734333333
2017-03-11T21:29:02Z,17,45.65554,13.7734333333
2017-03-11T21:29:07Z,17,45.6555833333,13.77348
2017-03-11T21:29:12Z,19,45.6556066667,13.7735033333
2017-03-11T21:29:17Z,19,45.6556683333,13.7735683333
2017-03-11T21:29:22Z,19,45.6557716667,13.77367
2017-03-11T21:29:27Z,20,45.655775,13.773665
2017-03-11T21:29:32Z,19,45.6557533333,13.77365
2017-03-11T21:29:37Z,21,45.6556833333,13.7735733333
2017-03-11T21:29:42Z,21,45.6556566667,13.773565
