Id,Diagnosis Source,Latitude,Longitude,Region,Country,Admin1,Locality Name,Locality Quality,Observation Date,Reporting Date,Status,Disease,Serotypes,Species Description,SumAtRisk,SumCases,SumDeaths,SumDestroyed,SumSlaughtered,HumansAffected,HumansDeaths
187613,OIE,36.940800,22.539200,Europe,Greece,Peloponnisos,LAKONIA 54,Unknown,17/06/2014,16/07/2014,Confirmed,Bluetongue,4,"domestic, sheep, domestic, goat",133,2,0,0,0,,
187612,OIE,37.358300,22.279700,Europe,Greece,Peloponnisos,ARKADIA 29,Unknown,17/06/2014,16/07/2014,Confirmed,Bluetongue,4,"domestic, sheep, domestic, goat",35,6,1,0,0,,
187611,OIE,36.800600,22.467800,Europe,Greece,Peloponnisos,LAKONIA 53,Unknown,17/06/2014,16/07/2014,Confirmed,Bluetongue,4,"domestic, sheep",19,5,0,0,0,,
187610,OIE,37.389700,22.453900,Europe,Greece,Peloponnisos,ARKADIA 28,Unknown,17/06/2014,16/07/2014,Confirmed,Bluetongue,4,"domestic, sheep, domestic, goat",106,1,0,0,0,,
187609,OIE,37.366400,22.389400,Europe,Greece,Peloponnisos,ARKADIA 26,Unknown,17/06/2014,16/07/2014,Confirmed,Bluetongue,4,"domestic, sheep, domestic, goat",121,6,1,0,0,,
187608,OIE,37.308300,22.438100,Europe,Greece,Peloponnisos,LAKONIA 55,Unknown,17/06/2014,16/07/2014,Confirmed,Bluetongue,4,"domestic, sheep",107,2,1,0,0,,
187607,OIE,37.645000,22.365000,Europe,Greece,Peloponnisos,ARKADIA 25,Unknown,17/06/2014,16/07/2014,Confirmed,Bluetongue,4,"domestic, sheep",26,1,0,0,0,,
187573,OIE,37.676900,22.507200,Europe,Greece,Peloponnisos,ARGOLIDA 1,Unknown,17/06/2014,15/07/2014,Confirmed,Bluetongue,4,"domestic, sheep, domestic, goat",39,2,0,0,0,,
187572,OIE,37.830300,22.331700,Europe,Greece,Peloponnisos,KORINTHIA 1,Unknown,17/06/2014,15/07/2014,Confirmed,Bluetongue,4,"domestic, sheep, domestic, goat",254,6,2,0,0,,
190248,OIE,38.693892,16.408703,Europe,Italy,Calabria,CHIARAVALLE,Unknown,18/06/2014,02/09/2014,Confirmed,Bluetongue,1,"domestic, cattle",20,4,0,0,0,,
189239,OIE,38.651667,16.389722,Europe,Italy,Calabria,Cardinale,Unknown,18/06/2014,05/08/2014,Confirmed,Bluetongue,1,"domestic, cattle",36,1,0,0,0,,
187894,OIE,36.995800,22.257500,Europe,Greece,Peloponnisos,MESSINIA 14,Unknown,18/06/2014,25/07/2014,Confirmed,Bluetongue,4,"domestic, sheep",35,5,0,0,0,,
187622,OIE,37.485800,22.166700,Europe,Greece,Peloponnisos,ARKADIA 33,Unknown,18/06/2014,16/07/2014,Confirmed,Bluetongue,4,"domestic, sheep",51,1,0,0,0,,
187621,OIE,37.453600,22.440000,Europe,Greece,Peloponnisos,ARKADIA 32,Unknown,18/06/2014,16/07/2014,Confirmed,Bluetongue,4,"domestic, sheep",55,1,0,0,0,,
187620,OIE,37.384200,22.251900,Europe,Greece,Peloponnisos,ARKADIA 34,Unknown,18/06/2014,16/07/2014,Confirmed,Bluetongue,4,"domestic, sheep",410,10,0,0,0,,
187619,OIE,37.383900,22.284200,Europe,Greece,Peloponnisos,ARKADIA 36,Unknown,18/06/2014,16/07/2014,Confirmed,Bluetongue,4,"domestic, sheep",61,2,0,0,0,,
187618,OIE,37.467800,22.501100,Europe,Greece,Peloponnisos,ARKADIA 31,Unknown,18/06/2014,16/07/2014,Confirmed,Bluetongue,4,"domestic, sheep",99,7,0,0,0,,
187617,OIE,37.385300,22.033600,Europe,Greece,Peloponnisos,ARKADIA 35,Unknown,18/06/2014,16/07/2014,Confirmed,Bluetongue,4,"domestic, sheep, domestic, goat",145,2,1,0,0,,
187616,OIE,37.367800,22.016900,Europe,Greece,Peloponnisos,ARKADIA 38,Unknown,18/06/2014,16/07/2014,Confirmed,Bluetongue,4,"domestic, sheep",69,2,0,0,0,,
187895,OIE,36.918100,22.268600,Europe,Greece,Peloponnisos,MESSINIA 15,Unknown,19/06/2014,25/07/2014,Confirmed,Bluetongue,4,"domestic, sheep",27,3,1,0,0,,
187626,OIE,37.353900,22.008100,Europe,Greece,Peloponnisos,ARKADIA 41,Unknown,19/06/2014,16/07/2014,Confirmed,Bluetongue,4,"domestic, sheep, domestic, goat",500,3,1,0,0,,
187625,OIE,37.692200,22.196100,Europe,Greece,Peloponnisos,ARKADIA 39,Unknown,19/06/2014,16/07/2014,Confirmed,Bluetongue,4,"domestic, sheep",135,2,0,0,0,,
