id,value,captured_a,latitude,longitude
14891048,3740,2011-12-17,37.391523333332998,141.007101666669996
14032279,3573,2011-09-24,37.391521666667003,141.007083333330002
15863906,2682,2012-03-23,37.391338333333003,141.007381666670000
17828991,2682,2012-03-23,37.391338333333302,141.007381666666987
14232800,8404,2011-10-22,37.431603333333001,140.988946666669989
14033119,3102,2011-09-24,37.431598333333000,140.988928333329994
15863879,2501,2012-03-23,37.405711666667003,140.991851666669987
17828936,2501,2012-03-23,37.405711666666697,140.991851666667003
14753760,2732,2011-12-08,37.391413333332999,141.007113333330011
14866545,10252,2011-12-15,37.431551666666998,140.988856666669989
15152825,2003,2012-01-07,37.398321666667002,140.997733333329990
14081989,3589,2011-10-05,37.391295000000000,141.007186666670009
14892664,2752,2011-12-18,37.391303333332999,141.007133333329989
17828690,2339,2012-03-23,37.405693333333303,140.991729999999990
15863757,2339,2012-03-23,37.405693333332998,140.991729999999990
15153151,1815,2012-01-07,37.402238333333003,140.994046666669988
14463054,3307,2011-11-10,37.391170000000002,141.007249999999999
15119297,2741,2011-11-24,37.391198333333001,141.007180000000005
15143108,2741,2011-11-24,37.391198333333001,141.007180000000005
14894531,4168,2011-12-18,37.391161666667003,141.007236666669996
15254061,3189,2012-01-14,37.391145000000002,141.007249999999999
14963139,3160,2011-12-17,37.391105000000003,141.007309999999990
14232799,8796,2011-10-22,37.431550000000001,140.988656666670011
14894523,3880,2011-12-18,37.391125000000002,141.007235000000009
14894522,3790,2011-12-18,37.391118333332997,141.007238333330008
14033648,8669,2011-09-24,37.431568333332997,140.988613333329994
14894524,3896,2011-12-18,37.391105000000003,141.007218333330002
14894525,3910,2011-12-18,37.391084999999997,141.007216666669990
14890183,2730,2011-12-17,37.391016666666999,141.007336666670000
14894526,3942,2011-12-18,37.391075000000001,141.007226666669993
14894527,3935,2011-12-18,37.391069999999999,141.007229999999993
14894530,4119,2011-12-18,37.391055000000001,141.007254999999986
14894528,3992,2011-12-18,37.391063333333001,141.007236666669996
14894529,4035,2011-12-18,37.391058333333000,141.007243333329995
14894521,3697,2011-12-18,37.391036666666999,141.007276666670009
14033786,8450,2011-09-24,37.412205000000000,140.988488333329997
17578543,3127,2012-02-11,37.391019999999997,141.007238333332992
15556053,3127,2012-02-11,37.391019999999997,141.007238333330008
14866086,3250,2011-12-15,37.391001666667002,141.007229999999993
14475819,3595,2011-11-08,37.390923333332999,141.007316666669993
14251203,3291,2011-10-29,37.390831666666998,141.007440000000003
14315612,3387,2011-11-05,37.390901666666998,141.007296666669987
14032278,3455,2011-09-24,37.390873333332998,141.007301666670003
15152826,1864,2012-01-07,37.398663333332998,140.996818333329998
15152810,3094,2012-01-07,37.390826666667003,141.007329999999996
14891047,3607,2011-12-17,37.390754999999999,141.007356666670006
14753761,2886,2011-12-08,37.390751666667001,141.007328333330008
17828628,3047,2012-03-23,37.390743333333297,141.007335000000012
15863726,3047,2012-03-23,37.390743333332999,141.007335000000012
14477144,2882,2011-11-08,37.390760000000000,141.007293333330011
14033120,3708,2011-09-24,37.431548333332998,140.988239999999990
17828934,2654,2012-03-23,37.405855000000003,140.991023333333004
15863878,2654,2012-03-23,37.405855000000003,140.991023333329991
17828692,2244,2012-03-23,37.405823333333302,140.990998333333010
15863758,2244,2012-03-23,37.405823333332997,140.990998333329998
14081988,3486,2011-10-05,37.390548333333001,141.007425000000012
14894520,3622,2011-12-18,37.390518333332999,141.007451666669994
15119296,2718,2011-11-24,37.390521666666999,141.007408333330005
15143107,2718,2011-11-24,37.390521666666999,141.007408333330005
17828993,2796,2012-03-23,37.390398333333302,141.007599999999996
15863907,2796,2012-03-23,37.390398333333003,141.007599999999996
